time,price,span,profit,min,max,buy,sell
0,343.23,1,0,343.23,343.23,-1,-1
1,343.472,2,0.241791,343.23,343.472,0,1
2,344.814,3,1.58368,343.23,344.814,0,2
3,339.87,1,1.58368,339.87,344.814,0,2
4,339.02,1,1.58368,339.02,344.814,0,2
5,338.81,1,1.58368,338.81,344.814,0,2
6,337.875,1,1.58368,337.875,344.814,0,2
7,338.22,2,1.58368,337.875,344.814,0,2
8,339.487,5,1.61169,337.875,344.814,6,8
9,338.975,1,1.61169,337.875,344.814,6,8
10,339.41,2,1.61169,337.875,344.814,6,8
11,339.84,8,1.965,337.875,344.814,6,11
12,339.37,1,1.965,337.875,344.814,6,11
13,340.07,11,2.19501,337.875,344.814,6,13
14,341.22,12,3.345,337.875,344.814,6,14
15,341.525,13,3.64999,337.875,344.814,6,15
16,342.36,14,4.48499,337.875,344.814,6,16
17,341.955,1,4.48499,337.875,344.814,6,16
18,341.51,1,4.48499,337.875,344.814,6,16
19,342.3,3,4.48499,337.875,344.814,6,16
20,342.93,18,5.05499,337.875,344.814,6,20
21,342.57,1,5.05499,337.875,344.814,6,20
22,342.44,1,5.05499,337.875,344.814,6,20
23,340.23,1,5.05499,337.875,344.814,6,20
24,342.826,4,5.05499,337.875,344.814,6,20
25,342.93,23,5.05499,337.875,344.814,6,20
26,342.69,1,5.05499,337.875,344.814,6,20
27,343.87,25,5.995,337.875,344.814,6,27
28,345.025,29,7.14999,337.875,345.025,6,28
29,345.07,30,7.19501,337.875,345.07,6,29
30,347.51,31,9.63501,337.875,347.51,6,30
31,348.18,32,10.305,337.875,348.18,6,31
32,346.922,1,10.305,337.875,348.18,6,31
33,348.21,34,10.335,337.875,348.21,6,33
34,347.775,1,10.335,337.875,348.21,6,33
35,347.959,2,10.335,337.875,348.21,6,33
36,346.53,1,10.335,337.875,348.21,6,33
37,345.98,1,10.335,337.875,348.21,6,33
38,346.605,3,10.335,337.875,348.21,6,33
39,345.81,1,10.335,337.875,348.21,6,33
40,346.904,5,10.335,337.875,348.21,6,33
41,346.87,1,10.335,337.875,348.21,6,33
42,347.15,7,10.335,337.875,348.21,6,33
43,347.92,8,10.335,337.875,348.21,6,33
44,347.31,1,10.335,337.875,348.21,6,33
45,347.965,12,10.335,337.875,348.21,6,33
46,347.682,1,10.335,337.875,348.21,6,33
47,347.73,2,10.335,337.875,348.21,6,33
48,347.31,1,10.335,337.875,348.21,6,33
49,348.075,16,10.335,337.875,348.21,6,33
50,348.32,51,10.445,337.875,348.32,6,50
51,348.26,1,10.445,337.875,348.32,6,50
52,348.38,53,10.505,337.875,348.38,6,52
53,347.94,1,10.505,337.875,348.38,6,52
54,345.605,1,10.505,337.875,348.38,6,52
55,347.054,2,10.505,337.875,348.38,6,52
56,346.545,1,10.505,337.875,348.38,6,52
57,346.79,2,10.505,337.875,348.38,6,52
58,345.74,1,10.505,337.875,348.38,6,52
59,345.695,1,10.505,337.875,348.38,6,52
60,345.605,1,10.505,337.875,348.38,6,52
61,346.01,4,10.505,337.875,348.38,6,52
62,345.785,1,10.505,337.875,348.38,6,52
63,345.43,1,10.505,337.875,348.38,6,52
64,345.16,1,10.505,337.875,348.38,6,52
65,345.41,2,10.505,337.875,348.38,6,52
66,346.14,9,10.505,337.875,348.38,6,52
67,345.37,1,10.505,337.875,348.38,6,52
68,344.77,1,10.505,337.875,348.38,6,52
69,344.8,2,10.505,337.875,348.38,6,52
70,345.45,4,10.505,337.875,348.38,6,52
71,345.6,5,10.505,337.875,348.38,6,52
72,345.33,1,10.505,337.875,348.38,6,52
73,345.9,7,10.505,337.875,348.38,6,52
74,345.861,1,10.505,337.875,348.38,6,52
75,345.865,2,10.505,337.875,348.38,6,52
76,345.51,1,10.505,337.875,348.38,6,52
77,345.59,2,10.505,337.875,348.38,6,52
78,347.42,25,10.505,337.875,348.38,6,52
79,345.72,1,10.505,337.875,348.38,6,52
80,347.12,2,10.505,337.875,348.38,6,52
81,346.61,1,10.505,337.875,348.38,6,52
82,346.6,1,10.505,337.875,348.38,6,52
83,347.275,5,10.505,337.875,348.38,6,52
84,347.07,1,10.505,337.875,348.38,6,52
85,345.57,1,10.505,337.875,348.38,6,52
86,346.485,2,10.505,337.875,348.38,6,52
87,346.98,3,10.505,337.875,348.38,6,52
88,346.445,1,10.505,337.875,348.38,6,52
89,346.55,2,10.505,337.875,348.38,6,52
90,347.54,37,10.505,337.875,348.38,6,52
91,346.47,1,10.505,337.875,348.38,6,52
92,345.96,1,10.505,337.875,348.38,6,52
93,345.87,1,10.505,337.875,348.38,6,52
94,345.51,1,10.505,337.875,348.38,6,52
95,346.79,5,10.505,337.875,348.38,6,52
96,346.58,1,10.505,337.875,348.38,6,52
97,346.74,2,10.505,337.875,348.38,6,52
98,346.93,8,10.505,337.875,348.38,6,52
99,345.905,1,10.505,337.875,348.38,6,52
100,346.495,2,10.505,337.875,348.38,6,52
101,345.56,1,10.505,337.875,348.38,6,52
102,345.52,1,10.505,337.875,348.38,6,52
103,344.78,1,10.505,337.875,348.38,6,52
104,344.11,1,10.505,337.875,348.38,6,52
105,343.775,1,10.505,337.875,348.38,6,52
106,344.23,3,10.505,337.875,348.38,6,52
107,343.98,1,10.505,337.875,348.38,6,52
108,344.065,2,10.505,337.875,348.38,6,52
109,344.13,3,10.505,337.875,348.38,6,52
110,344.645,7,10.505,337.875,348.38,6,52
111,344.07,1,10.505,337.875,348.38,6,52
112,344.31,2,10.505,337.875,348.38,6,52
113,344.02,1,10.505,337.875,348.38,6,52
114,344.22,2,10.505,337.875,348.38,6,52
115,343.67,1,10.505,337.875,348.38,6,52
116,342.93,1,10.505,337.875,348.38,6,52
117,343.22,2,10.505,337.875,348.38,6,52
118,343.465,3,10.505,337.875,348.38,6,52
119,343.593,4,10.505,337.875,348.38,6,52
120,343.099,1,10.505,337.875,348.38,6,52
121,343.81,7,10.505,337.875,348.38,6,52
122,344.115,8,10.505,337.875,348.38,6,52
123,344.65,20,10.505,337.875,348.38,6,52
124,344.37,1,10.505,337.875,348.38,6,52
125,343.99,1,10.505,337.875,348.38,6,52
126,343.84,1,10.505,337.875,348.38,6,52
127,344.245,3,10.505,337.875,348.38,6,52
128,344.56,5,10.505,337.875,348.38,6,52
129,344.433,1,10.505,337.875,348.38,6,52
130,345.83,30,10.505,337.875,348.38,6,52
131,346.305,31,10.505,337.875,348.38,6,52
132,346.03,1,10.505,337.875,348.38,6,52
133,345.89,1,10.505,337.875,348.38,6,52
134,346.735,36,10.505,337.875,348.38,6,52
135,346.835,37,10.505,337.875,348.38,6,52
136,346.897,38,10.505,337.875,348.38,6,52
137,346.91,39,10.505,337.875,348.38,6,52
138,346.29,1,10.505,337.875,348.38,6,52
139,345.99,1,10.505,337.875,348.38,6,52
140,345.41,1,10.505,337.875,348.38,6,52
141,345.62,2,10.505,337.875,348.38,6,52
142,345.9,3,10.505,337.875,348.38,6,52
143,345.96,4,10.505,337.875,348.38,6,52
144,346.07,6,10.505,337.875,348.38,6,52
145,346.42,8,10.505,337.875,348.38,6,52
146,346.68,9,10.505,337.875,348.38,6,52
147,346.78,10,10.505,337.875,348.38,6,52
148,346.596,1,10.505,337.875,348.38,6,52
149,346.068,1,10.505,337.875,348.38,6,52
150,346.441,2,10.505,337.875,348.38,6,52
151,346.615,4,10.505,337.875,348.38,6,52
152,347.64,99,10.505,337.875,348.38,6,52
153,347.69,100,10.505,337.875,348.38,6,52
154,348.05,102,10.505,337.875,348.38,6,52
155,348.895,156,11.02,337.875,348.895,6,155
156,349.08,157,11.205,337.875,349.08,6,156
157,349.305,158,11.43,337.875,349.305,6,157
158,349.7,159,11.8251,337.875,349.7,6,158
159,352.015,160,14.14,337.875,352.015,6,159
160,354.471,161,16.5961,337.875,354.471,6,160
161,353.92,1,16.5961,337.875,354.471,6,160
162,354.55,163,16.675,337.875,354.55,6,162
163,354.62,164,16.745,337.875,354.62,6,163
164,352.34,1,16.745,337.875,354.62,6,163
165,350.862,1,16.745,337.875,354.62,6,163
166,351.085,2,16.745,337.875,354.62,6,163
167,351.75,3,16.745,337.875,354.62,6,163
168,351.615,1,16.745,337.875,354.62,6,163
169,350.605,1,16.745,337.875,354.62,6,163
170,351.71,3,16.745,337.875,354.62,6,163
171,350.99,1,16.745,337.875,354.62,6,163
172,352.11,8,16.745,337.875,354.62,6,163
173,352.84,10,16.745,337.875,354.62,6,163
174,351.63,1,16.745,337.875,354.62,6,163
175,351.167,1,16.745,337.875,354.62,6,163
176,350.62,1,16.745,337.875,354.62,6,163
177,349.82,1,16.745,337.875,354.62,6,163
178,350.36,2,16.745,337.875,354.62,6,163
179,350.313,1,16.745,337.875,354.62,6,163
180,350.475,4,16.745,337.875,354.62,6,163
181,351.159,6,16.745,337.875,354.62,6,163
182,350.64,1,16.745,337.875,354.62,6,163
183,350.85,2,16.745,337.875,354.62,6,163
184,350.315,1,16.745,337.875,354.62,6,163
185,350.9,4,16.745,337.875,354.62,6,163
186,350.74,1,16.745,337.875,354.62,6,163
187,351.947,14,16.745,337.875,354.62,6,163
188,351.63,1,16.745,337.875,354.62,6,163
189,351.52,1,16.745,337.875,354.62,6,163
190,352.21,17,16.745,337.875,354.62,6,163
191,353.075,28,16.745,337.875,354.62,6,163
192,352.715,1,16.745,337.875,354.62,6,163
193,352.88,2,16.745,337.875,354.62,6,163
194,352.495,1,16.745,337.875,354.62,6,163
195,352.9,4,16.745,337.875,354.62,6,163
196,352.46,1,16.745,337.875,354.62,6,163
197,352.89,2,16.745,337.875,354.62,6,163
198,353.005,7,16.745,337.875,354.62,6,163
199,353.315,36,16.745,337.875,354.62,6,163
200,353.285,1,16.745,337.875,354.62,6,163
201,353.53,38,16.745,337.875,354.62,6,163
202,353.63,39,16.745,337.875,354.62,6,163
203,354.44,40,16.745,337.875,354.62,6,163
204,354.17,1,16.745,337.875,354.62,6,163
205,354.2,2,16.745,337.875,354.62,6,163
206,354.115,1,16.745,337.875,354.62,6,163
207,353.622,1,16.745,337.875,354.62,6,163
208,353.04,1,16.745,337.875,354.62,6,163
209,352.743,1,16.745,337.875,354.62,6,163
210,352.84,2,16.745,337.875,354.62,6,163
211,352.915,3,16.745,337.875,354.62,6,163
212,352.81,1,16.745,337.875,354.62,6,163
213,352.095,1,16.745,337.875,354.62,6,163
214,352.295,2,16.745,337.875,354.62,6,163
215,352.17,1,16.745,337.875,354.62,6,163
216,351.57,1,16.745,337.875,354.62,6,163
217,351.915,2,16.745,337.875,354.62,6,163
218,351.755,1,16.745,337.875,354.62,6,163
219,351.81,2,16.745,337.875,354.62,6,163
220,351.86,3,16.745,337.875,354.62,6,163
221,351.721,1,16.745,337.875,354.62,6,163
222,351.31,1,16.745,337.875,354.62,6,163
223,351.21,1,16.745,337.875,354.62,6,163
224,350.83,1,16.745,337.875,354.62,6,163
225,350.95,2,16.745,337.875,354.62,6,163
226,351.56,5,16.745,337.875,354.62,6,163
227,351.425,1,16.745,337.875,354.62,6,163
228,351.73,8,16.745,337.875,354.62,6,163
229,351.1,1,16.745,337.875,354.62,6,163
230,350.895,1,16.745,337.875,354.62,6,163
231,350.83,1,16.745,337.875,354.62,6,163
232,352.02,17,16.745,337.875,354.62,6,163
233,352.405,21,16.745,337.875,354.62,6,163
234,359.785,235,21.91,337.875,359.785,6,234
235,356.84,1,21.91,337.875,359.785,6,234
236,358.495,2,21.91,337.875,359.785,6,234
237,360.84,238,22.965,337.875,360.84,6,237
238,359.87,1,22.965,337.875,360.84,6,237
239,358.955,1,22.965,337.875,360.84,6,237
240,358.348,1,22.965,337.875,360.84,6,237
241,359.59,3,22.965,337.875,360.84,6,237
242,359.42,1,22.965,337.875,360.84,6,237
243,359.63,5,22.965,337.875,360.84,6,237
244,362.55,245,24.675,337.875,362.55,6,244
245,362.99,246,25.115,337.875,362.99,6,245
246,362.54,1,25.115,337.875,362.99,6,245
247,362.01,1,25.115,337.875,362.99,6,245
248,362.185,2,25.115,337.875,362.99,6,245
249,363.24,250,25.3646,337.875,363.24,6,249
250,363.54,251,25.665,337.875,363.54,6,250
251,363.33,1,25.665,337.875,363.54,6,250
252,361.88,1,25.665,337.875,363.54,6,250
253,361.13,1,25.665,337.875,363.54,6,250
254,361.525,2,25.665,337.875,363.54,6,250
255,361.99,4,25.665,337.875,363.54,6,250
256,362.21,5,25.665,337.875,363.54,6,250
257,362.825,6,25.665,337.875,363.54,6,250
258,363.82,259,25.945,337.875,363.82,6,258
259,364.5,260,26.625,337.875,364.5,6,259
260,364.5,1,26.625,337.875,364.5,6,259
261,365.903,262,28.0276,337.875,365.903,6,261
262,365.567,1,28.0276,337.875,365.903,6,261
263,365.595,2,28.0276,337.875,365.903,6,261
264,365.865,3,28.0276,337.875,365.903,6,261
265,365.977,266,28.1016,337.875,365.977,6,265
266,365.85,1,28.1016,337.875,365.977,6,265
267,365.79,1,28.1016,337.875,365.977,6,265
268,367.01,269,29.135,337.875,367.01,6,268
269,367.255,270,29.38,337.875,367.255,6,269
270,366.61,1,29.38,337.875,367.255,6,269
271,367.055,2,29.38,337.875,367.255,6,269
272,366.35,1,29.38,337.875,367.255,6,269
273,365.8,1,29.38,337.875,367.255,6,269
274,365.49,1,29.38,337.875,367.255,6,269
275,365.105,1,29.38,337.875,367.255,6,269
276,365.09,1,29.38,337.875,367.255,6,269
277,364.47,1,29.38,337.875,367.255,6,269
278,364.833,2,29.38,337.875,367.255,6,269
279,365.435,5,29.38,337.875,367.255,6,269
280,365.78,7,29.38,337.875,367.255,6,269
281,365.21,1,29.38,337.875,367.255,6,269
282,365.375,2,29.38,337.875,367.255,6,269
283,364.925,1,29.38,337.875,367.255,6,269
284,365.412,4,29.38,337.875,367.255,6,269
285,365.085,1,29.38,337.875,367.255,6,269
286,364.93,1,29.38,337.875,367.255,6,269
287,364.73,1,29.38,337.875,367.255,6,269
288,364.15,1,29.38,337.875,367.255,6,269
289,364.17,2,29.38,337.875,367.255,6,269
290,363.84,1,29.38,337.875,367.255,6,269
291,363.41,1,29.38,337.875,367.255,6,269
292,362.735,1,29.38,337.875,367.255,6,269
293,363.615,3,29.38,337.875,367.255,6,269
294,363.6,1,29.38,337.875,367.255,6,269
295,363.87,6,29.38,337.875,367.255,6,269
296,363.72,1,29.38,337.875,367.255,6,269
297,363.76,2,29.38,337.875,367.255,6,269
298,363.955,9,29.38,337.875,367.255,6,269
299,364.19,12,29.38,337.875,367.255,6,269
300,364.97,15,29.38,337.875,367.255,6,269
301,365.08,16,29.38,337.875,367.255,6,269
302,365,1,29.38,337.875,367.255,6,269
303,365.29,19,29.38,337.875,367.255,6,269
304,365.54,24,29.38,337.875,367.255,6,269
305,365.587,25,29.38,337.875,367.255,6,269
306,364.72,1,29.38,337.875,367.255,6,269
307,364.7,1,29.38,337.875,367.255,6,269
308,364.505,1,29.38,337.875,367.255,6,269
309,365.035,4,29.38,337.875,367.255,6,269
310,363.665,1,29.38,337.875,367.255,6,269
311,364.16,2,29.38,337.875,367.255,6,269
312,364.839,3,29.38,337.875,367.255,6,269
313,366.524,42,29.38,337.875,367.255,6,269
314,367.2,45,29.38,337.875,367.255,6,269
315,369.2,316,31.325,337.875,369.2,6,315
316,370.969,317,33.0935,337.875,370.969,6,316
317,370.515,1,33.0935,337.875,370.969,6,316
318,372.032,319,34.1567,337.875,372.032,6,318
319,373.56,320,35.685,337.875,373.56,6,319
320,375.89,321,38.0151,337.875,375.89,6,320
321,376.04,322,38.165,337.875,376.04,6,321
322,376.655,323,38.78,337.875,376.655,6,322
323,376.67,324,38.795,337.875,376.67,6,323
324,377.76,325,39.885,337.875,377.76,6,324
325,376.63,1,39.885,337.875,377.76,6,324
326,377.114,2,39.885,337.875,377.76,6,324
